country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",08-12-2025 08:00:00,24.75746,84.366208,OZONE,11,54,16
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",08-12-2025 08:00:00,25.42742023,86.13886079,NH3,3,3,3
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",08-12-2025 08:00:00,25.42742023,86.13886079,CO,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",08-12-2025 08:00:00,25.42742023,86.13886079,OZONE,1,10,3
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",08-12-2025 08:00:00,25.251013,86.989001,SO2,37,69,53
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",08-12-2025 08:00:00,25.265194,87.012947,NH3,10,17,13
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",08-12-2025 08:00:00,25.265194,87.012947,SO2,47,82,64
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",08-12-2025 08:00:00,25.265194,87.012947,OZONE,13,116,24
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",08-12-2025 08:00:00,25.204762,85.514960,PM2.5,87,308,190
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",08-12-2025 08:00:00,26.181742,91.78063,PM10,61,220,131
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",08-12-2025 08:00:00,26.349082,92.68449,NO2,1,1,1
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",08-12-2025 08:00:00,26.349082,92.68449,OZONE,6,9,9
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",08-12-2025 08:00:00,26.446912,91.439057,PM2.5,10,358,76
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",08-12-2025 08:00:00,26.446912,91.439057,OZONE,15,16,15
India,Assam,Silchar,"Tarapur, Silchar - PCBA",08-12-2025 08:00:00,24.82827,92.79525,PM10,51,62,55
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",08-12-2025 08:00:00,26.987634,94.636574,PM2.5,18,100,57
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",08-12-2025 08:00:00,16.9872867,81.7363176,SO2,6,30,18
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",08-12-2025 08:00:00,16.9872867,81.7363176,CO,26,56,36
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",08-12-2025 08:00:00,13.67,79.35,CO,2,42,19
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",08-12-2025 08:00:00,13.615387,79.409230,PM10,57,64,60
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",08-12-2025 08:00:00,16.536107,80.594233,PM10,37,73,60
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",08-12-2025 08:00:00,16.486692,80.699436,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",08-12-2025 08:00:00,16.486692,80.699436,NH3,NA,NA,NA
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",08-12-2025 08:00:00,14.675886,77.593027,PM2.5,45,327,169
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",08-12-2025 08:00:00,14.675886,77.593027,NH3,5,5,5
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",08-12-2025 08:00:00,14.675886,77.593027,OZONE,18,67,33
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",08-12-2025 08:00:00,13.204880,79.097889,OZONE,53,59,55
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",08-12-2025 08:00:00,14.465052,78.824187,PM10,32,128,59
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",08-12-2025 08:00:00,16.9872867,81.7363176,PM2.5,95,302,187
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",08-12-2025 08:00:00,16.486692,80.699436,CO,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",08-12-2025 08:00:00,16.509717,80.612222,NO2,41,115,62
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",08-12-2025 08:00:00,17.72,83.3,PM2.5,104,308,200
